,PLAYER,COLLEGE,CONF,GAMES_PLAYED,GAMES_STARTED,RECORD,CMP,ATT,YDS,TD,INT,RUSH_ATT,RUSH_YDS,RUSH_TD,COLL_CMP,COLL_ATT,COLL_YDS,COLL_TD,COLL_INT,COLL_RUSH_ATT,COLL_RUSH_YDS,COLL_RUSH_TDS
0,Mitchell Trubisky,North Carolina,ACC,22,22,11-11-0,406,651,4662,27,16,92,611,5,386,572,4762,41,10,120,439,8
1,Patrick Mahomes,Texas Tech,Big 12,13,13,11-2-0,309,464,4207,41,11,58,248,2,857,1349,11252,93,29,308,845,22
2,Deshaun Watson,Clemson,ACC,19,18,12-6-0,368,568,4730,40,17,105,644,4,814,1207,10168,90,32,435,1934,26
3,DeShone Kizer,Notre Dame,Ind,16,15,0-15-0,259,483,2949,11,23,77,419,5,422,695,5805,47,19,264,997,18
4,Davis Webb,California,Pac-12,0,0,0-0-0,0,0,0,0,0,0,0,0,841,1367,9852,83,34,77,-100,9
5,C.J. Beathard,Iowa,Big Ten,13,10,1-9-0,225,393,2682,12,13,45,205,4,454,782,5562,40,19,224,429,10
6,Joshua Dobbs,Tennessee,SEC,4,0,0-0-0,2,3,19,0,0,2,-4,0,614,999,7138,53,29,438,2160,32
7,Nathan Peterman,Pittsburgh,ACC,8,4,1-3-0,68,130,548,3,12,17,73,1,398,662,5236,47,17,172,525,5
8,Brad Kaaya,Miami (FL),ACC,0,0,0-0-0,0,0,0,0,0,0,0,0,720,1188,9968,69,24,94,-386,4
9,Chad Kelly,Mississippi,SEC,1,0,0-0-0,0,0,0,0,0,1,-1,0,513,803,6858,50,21,203,958,16
10,Jared Goff,California,Pac-12,34,34,22-12-0,683,1096,8647,60,21,73,153,3,977,1568,12195,96,30,170,-114,1
11,Carson Wentz,North Dakota St.,MVC,39,39,23-16-0,901,1416,9924,67,28,140,545,2,392,612,5115,45,14,216,1028,13
12,Paxton Lynch,Memphis,American,5,4,1-3-0,79,128,792,4,4,16,55,0,758,1205,8863,59,23,288,687,17
13,Christian Hackenberg,Penn St.,Big Ten,0,0,0-0-0,0,0,0,0,0,0,0,0,693,1235,8457,48,31,208,-242,6
14,Jacoby Brissett,North Carolina St.,ACC,23,17,5-12-0,312,528,3500,13,7,86,336,5,499,839,5723,46,15,283,902,12
15,Cody Kessler,USC,Pac-12,15,10,1-9-0,203,315,2052,8,4,24,70,0,851,1261,10339,88,19,158,-425,7
16,Connor Cook,Michigan St.,Big Ten,1,0,0-0-0,14,21,150,1,1,0,0,0,673,1170,9194,71,22,176,209,3
17,Dak Prescott,Mississippi St.,SEC,44,44,29-15-0,862,1313,9667,59,22,177,940,17,734,1169,9376,70,23,536,2521,41
18,Cardale Jones,Ohio St.,Big Ten,1,0,0-0-0,6,11,96,0,1,1,-1,0,166,269,2322,15,7,153,617,4
